"States","n","%","CI"
"Alabama",295,92.0,"(±4)"
"Alaska",251,85.6,"(±4.7)"
"Arizona",265,92.4,"(±3.4)"
"Arkansas",258,91.2,"(±4.2)"
"California",324,92.6,"(±4.7)"
"Colorado",264,87.6,"(±4.7)"
"Connecticut",266,95.4,"(±3)"
"Delaware",232,92.1,"(±3.9)"
"District of Columbia",269,93.5,"(±4.5)"
"Florida",314,93.2,"(±3.7)"
"Georgia",299,92.4,"(±4.1)"
"Hawaii",236,90.0,"(±4.2)"
"Idaho",198,90.1,"(±4.8)"
"Illinois",473,92.4,"(±2.8)"
"Indiana",256,86.4,"(±5.3)"
"Iowa",226,90.1,"(±4.8)"
"Kansas",192,87.1,"(±5.9)"
"Kentucky",229,92.3,"(±4.4)"
"Louisiana",282,89.8,"(±4.7)"
"Maine",271,91.6,"(±3.5)"
"Maryland",361,90.2,"(±6)"
"Massachusetts",271,97.6,"(±2)"
"Michigan",237,93.9,"(±3.6)"
"Minnesota",249,93.1,"(±3.5)"
"Mississippi",247,92.4,"(±3.7)"
"Missouri",229,85.9,"(±5.8)"
"Montana",216,90.3,"(±5.1)"
"Nebraska",246,93.4,"(±3.6)"
"Nevada",235,93.8,"(±3.3)"
"New Hampshire",236,92.1,"(±3.9)"
"New Jersey",356,90.8,"(±3.6)"
"New Mexico",233,86.4,"(±5.7)"
"New York",543,91.4,"(±2.6)"
"North Carolina",298,91.0,"(±4.4)"
"North Dakota",222,95.0,"(±2.9)"
"Ohio",279,85.2,"(±5.7)"
"Oklahoma",219,91.5,"(±3.9)"
"Oregon",254,88.9,"(±4.7)"
"Pennsylvania",543,88.4,"(±5.2)"
"Rhode Island",249,94.6,"(±2.8)"
"South Carolina",238,90.3,"(±4.8)"
"South Dakota",244,89.9,"(±4.7)"
"Tennessee",272,93.1,"(±4.1)"
"Texas",545,89.1,"(±2.6)"
"Utah",249,86.9,"(±4.7)"
"Vermont",251,88.6,"(±4.3)"
"Virginia",356,97.2,"(±2)"
"Washington",272,89.2,"(±4.8)"
"West Virginia",298,92.3,"(±3.6)"
"Wisconsin",218,87.1,"(±5.3)"
"Wyoming",267,89.2,"(±4)"
"Guam",266,76.3,"(±5.8)"
"Puerto Rico","NA","NA","NA"
"U.S. Virgin Islands","NA","NA","NA"
"CO-Denver","NA","NA","NA"
"CO-Rest of State","NA","NA","NA"
"AL-Jefferson County","NA","NA","NA"
"AL-Rest of State","NA","NA","NA"
"FL-Duval County","NA","NA","NA"
"FL-Miami-Dade County","NA","NA","NA"
"FL-Orange County","NA","NA","NA"
"FL-Rest of State","NA","NA","NA"
"NY-City of New York",264,89.4,"(±3.9)"
"NY-Rest of State",279,93.4,"(±3.4)"
"PA-Allegheny County","NA","NA","NA"
"PA-Philadelphia",195,94.6,"(±3.7)"
"PA-Rest of State",348,87.2,"(±6.1)"
"TX-Bexar County",239,95.7,"(±2.7)"
"TX-City of Houston",122,86.8,"(±7.2)"
"TX-El Paso County",198,89.9,"(±5.3)"
"TX-Rest of State",599,87.2,"(±3.8)"
"TX-Dallas County",167,97.6,"(±2.2)"
"TX-Hidalgo County","NA","NA","NA"
"TX-Travis County",220,92.9,"(±3.7)"
"CA-Alameda County","NA","NA","NA"
"CA-Fresno County","NA","NA","NA"
"CA-Los Angeles County","NA","NA","NA"
"CA-Northern CA","NA","NA","NA"
"CA-San Bernardino County","NA","NA","NA"
"CA-San Diego County","NA","NA","NA"
"CA-Santa Clara County","NA","NA","NA"
"CA-Rest of State","NA","NA","NA"
"IL-City of Chicago",137,93.2,"(±6.4)"
"IL-Rest of State",336,92.2,"(±3.1)"
"IL-Madison/St. Clair Counties","NA","NA","NA"
"IN-Lake County","NA","NA","NA"
"IN-Marion County","NA","NA","NA"
"IN-Rest of State","NA","NA","NA"
"KS-Eastern KS","NA","NA","NA"
"KS-Rest of State","NA","NA","NA"
"LA-Orleans Parish","NA","NA","NA"
"LA-Rest of State","NA","NA","NA"
"MD-City of Baltimore","NA","NA","NA"
"MD-Prince George's County","NA","NA","NA"
"MD-Rest of State","NA","NA","NA"
"MA-City of Boston","NA","NA","NA"
"MA-Rest of State","NA","NA","NA"
"MI-City of Detroit","NA","NA","NA"
"MI-Rest of State","NA","NA","NA"
"MN-Twin Cities","NA","NA","NA"
"MN-Rest of State","NA","NA","NA"
"MO-St. Louis County/City","NA","NA","NA"
"MO-Rest of State","NA","NA","NA"
"GA-Fulton/DeKalb Counties","NA","NA","NA"
"GA-Rest of State","NA","NA","NA"
"NV-Clark County","NA","NA","NA"
"NV-Rest of State","NA","NA","NA"
"NJ-City of Newark","NA","NA","NA"
"NJ-Rest of State","NA","NA","NA"
"NM-Southern NM","NA","NA","NA"
"NM-Rest of State","NA","NA","NA"
"OH-Cuyahoga County","NA","NA","NA"
"OH-Franklin County","NA","NA","NA"
"OH-Rest of State","NA","NA","NA"
"AZ-Maricopa County","NA","NA","NA"
"AZ-Rest of State","NA","NA","NA"
"TN-Davidson County","NA","NA","NA"
"TN-Shelby County","NA","NA","NA"
"TN-Rest of State","NA","NA","NA"
"WA-Eastern WA Counties","NA","NA","NA"
"WA-King County","NA","NA","NA"
"WA-Western Counties","NA","NA","NA"
"WA-Eastern/Western WA","NA","NA","NA"
"WA-Rest of State","NA","NA","NA"
"WI-Milwaukee County","NA","NA","NA"
"WI-Rest of State","NA","NA","NA"
