GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
0400000US01,01,Alabama,1737080,453898,579336,314914,245212,97142,30509,16069
0400000US02,02,Alaska,221600,52060,68032,38104,34348,16714,6993,5349
0400000US04,04,Arizona,1901327,472006,665357,281032,246143,130223,58202,48364
0400000US05,05,Arkansas,1042696,266585,366274,179996,140590,58463,19536,11252
0400000US06,06,California,11502870,2708308,3408296,1841968,1707961,927539,450920,457878
0400000US08,08,Colorado,1658238,435778,564662,264228,233303,100380,36483,23404
0400000US09,09,Connecticut,1301670,344224,424186,215349,194395,83585,26564,13367
0400000US10,10,Delaware,298736,74639,102181,51537,42582,18127,6177,3493
0400000US11,11,District of Columbia,248338,108744,68334,31709,20089,10457,4807,4198
0400000US12,12,Florida,6337929,1687303,2330104,977117,776458,351132,132086,83729
0400000US13,13,Georgia,3006369,710523,963782,550858,460639,199642,72511,48414
0400000US15,15,Hawaii,403240,88153,119631,71878,59999,31598,15291,16690
0400000US16,16,Idaho,469645,105175,163482,74571,67421,33851,15609,9536
0400000US17,17,Illinois,4591779,1229807,1412418,734189,660575,330510,128726,95554
0400000US18,18,Indiana,2336306,605428,789585,388830,332367,145953,48453,25690
0400000US19,19,Iowa,1149276,313083,408869,170849,154338,69584,22161,10392
0400000US20,20,Kansas,1037891,280387,352305,159448,143148,67024,23235,12344
0400000US21,21,Kentucky,1590647,414095,539711,292375,223407,84207,24943,11909
0400000US22,22,Louisiana,1656053,419200,511428,301865,244615,113491,40278,25176
0400000US23,23,Maine,518200,139969,190804,82223,69418,25602,7253,2931
0400000US24,24,Maryland,1980859,495459,630761,350863,296435,131226,47468,28647
0400000US25,25,Massachusetts,2443580,684345,774129,400166,353184,154831,50905,26020
0400000US26,26,Michigan,3785661,993607,1247892,610868,542690,249366,89020,52218
0400000US27,27,Minnesota,1895127,509468,641694,283467,273585,123222,40228,23463
0400000US28,28,Mississippi,1046434,257708,327377,194171,155180,70292,25324,16382
0400000US29,29,Missouri,2194594,599808,745803,355321,298735,129318,43052,22557
0400000US30,30,Montana,358667,98422,129144,53287,46401,20372,7106,3935
0400000US31,31,Nebraska,666184,183550,228394,99456,88835,43298,14980,7671
0400000US32,32,Nevada,751165,186745,259230,120525,96759,49735,21522,16649
0400000US33,33,New Hampshire,474606,116014,165660,78486,73491,28656,8533,3766
0400000US34,34,New Jersey,3064645,751287,927529,531620,490510,229192,82308,52199
0400000US35,35,New Mexico,677971,172181,219502,110766,95632,47658,19179,13053
0400000US36,36,New York,7056860,1982742,2090988,1156940,1000421,491090,193809,140870
0400000US37,37,North Carolina,3132013,795271,1092738,560436,430684,166885,54033,31966
0400000US38,38,North Dakota,257152,75420,89355,37103,33279,15368,4633,1994
0400000US39,39,Ohio,4445773,1215614,1484469,729645,612614,269997,88970,44464
0400000US40,40,Oklahoma,1342293,358560,461285,220501,180902,79508,27003,14534
0400000US41,41,Oregon,1333723,347624,479843,205466,174236,76944,29188,20422
0400000US42,42,Pennsylvania,4777003,1320941,1587227,783820,659158,282655,93457,49745
0400000US44,44,Rhode Island,408424,116678,130732,67356,57638,24253,7804,3963
0400000US45,45,South Carolina,1533854,383142,521599,276789,217449,88982,29387,16506
0400000US46,46,South Dakota,290245,80040,100176,42498,38260,18500,6593,4178
0400000US47,47,Tennessee,2232905,576401,766259,404608,307454,119216,37845,21122
0400000US48,48,Texas,7393354,1752141,2258060,1264381,1128749,577708,236233,176082
0400000US49,49,Utah,701281,124756,202904,115417,111697,71395,42686,32426
0400000US50,50,Vermont,240634,63112,86630,38195,34431,12915,3744,1607
0400000US51,51,Virginia,2699173,676907,909785,481924,389204,157215,53514,30624
0400000US53,53,Washington,2271398,594325,780008,358463,315798,137873,50877,34054
0400000US54,54,West Virginia,736481,199587,259239,132860,96168,34636,9820,4171
0400000US55,55,Wisconsin,2084544,557875,721452,320561,290716,127921,42270,23749
0400000US56,56,Wyoming,193608,50980,69405,30028,25786,11435,3906,2068
0400000US72,72,Puerto Rico,1261325,232560,325279,264042,236356,128673,45761,28654
